date,type,amount,currency,account,to_account,category,comment,uid
2022-09-08,Expense,60.00,RUB,Тинькофф,,Образование,,9da50413-dbcf-4902-a623-90fe6c5d8a25
2022-09-09,Income,100.00,RUB,Сбер,,Другое,,5cbadf99-ea2b-4f27-aef7-ff1bc6407b2d
2022-09-09,Expense,90.00,RUB,Сбер,,Продукты,,7c53636b-6e2c-4976-ae80-390f10e5e8ae
2022-09-09,Expense,30.00,RUB,Тинькофф,,Продукты,,30af66ad-e817-4ad2-8459-e4d549b56170
2022-09-10,Expense,39.00,RUB,Тинькофф,,Продукты,,ed96620a-1d3e-4a4a-b2a2-12ca66638fd5
2022-09-10,Expense,226.25,RUB,Сбер,,Топливо,,bd4ef596-3eab-4d5e-9043-ef8842f3f0cd
2022-09-10,Expense,207.00,RUB,Тинькофф,,Такси,,af1042b3-669b-4368-b218-b25d9f93efb3
2022-09-11,Expense,300.00,RUB,Сбер,,Связь и интернет,,12add1f6-636b-4597-a4e9-0af903b8aa83
2022-09-11,Income,1200.00,RUB,Сбер,,На расходы,,1391fb11-7df1-4105-a0d2-b491a19df714
2022-09-11,Expense,510.00,RUB,Сбер,,Транспорт,,7e570743-d960-4d27-9303-6f8da84e2f8e
2022-09-11,Expense,604.00,RUB,Сбер,,Транспорт,,f669ccf1-a29d-493b-8f27-e259c46a4224
2022-09-11,Expense,116.00,RUB,Тинькофф,,Кафе,,9d3db03a-f6be-4bac-b356-fa19c8de4ae1
2022-09-12,Expense,164.00,RUB,Тинькофф,,Образование,,23e9fede-36e0-4353-a927-08d5255d95e2
2022-09-12,Expense,100.00,RUB,Тинькофф,,Кафе,,ad20b46b-f722-44b2-97a1-c523c706d7cb
2022-09-12,Expense,500.00,RUB,Сбер,,Банковские услуги,,eaf1203d-3084-4ead-8c64-ae9c844e9b15
2022-09-14,Expense,25.00,RUB,Тинькофф,,Транспорт,,9d625bf0-efad-4f87-b95a-186cd77e8963
2022-09-14,Expense,25.00,RUB,Тинькофф,,Транспорт,,8e9d77e7-e525-4e5c-9b4d-7d8cc68463c2
2022-09-14,Income,650.00,RUB,Налик,,На расходы,,f314d27e-51e7-425e-9d42-9e7947f54c5f
2022-09-16,Income,200.00,RUB,Сбер,,На расходы,,1fe4cd5a-8f70-43bd-bc1e-db0e5399e6e9
2022-09-16,Expense,300.00,RUB,Сбер,,Связь и интернет,,08172935-6298-48f3-aa13-1f84b4a906c7
2022-09-16,Expense,268.00,RUB,Тинькофф,,Продукты,,8a820c29-327a-4be0-86d7-00c7bc8b12fd
2022-09-17,Expense,25.00,RUB,Тинькофф,,Транспорт,,a3b1457c-2d24-4838-820d-aa8280ffb2f4
2022-09-17,Expense,25.00,RUB,Тинькофф,,Транспорт,,f28896e6-f358-4340-89c5-72027bb38719
2022-09-17,Expense,209.00,RUB,Тинькофф,,Продукты,,4f3f8252-6aeb-4011-bf20-4b00e609e583
2022-09-18,Expense,150.00,RUB,Налик,,Такси,,3d3232b7-ee84-4ae8-bc24-db936c11e1c8
2022-09-18,Expense,739.00,RUB,Тинькофф,,Интернет магазин,,247827dd-79b8-4540-9ea3-2ea62ff56584
2022-09-19,Expense,25.00,RUB,Тинькофф,,Транспорт,,e7a14749-ed29-4a12-839e-047aa3ea87aa
2022-09-19,Expense,25.00,RUB,Тинькофф,,Транспорт,,8dfb74c8-f8db-4513-9eaa-13c1cdf82374
2022-09-19,Transfer,500.00,RUB,Налик,Степа,,,720ec4c3-3fcb-45ea-92ae-329aa6004911
2022-09-20,Expense,448.00,RUB,Тинькофф,,Лекарства,,38c8c353-a436-4947-9e71-79abb9542601
2022-09-20,Income,3000.00,RUB,Тинькофф,,На расходы,,b491d810-d415-4f73-9540-006d7e325f8e
2022-09-20,Expense,150.00,RUB,Тинькофф,,Семья,,2bcd558b-94bd-438a-a996-0a94090f8561
2022-09-21,Expense,500.00,RUB,Тинькофф,,Другое,,2072a0a0-a0fb-4412-a8b6-cbf22591fdb5
2022-09-21,Expense,85.00,RUB,Тинькофф,,Продукты,,b6a888d1-891e-4722-a7b0-964a4b8fd036
2022-09-21,Expense,224.00,RUB,Тинькофф,,Лекарства,,ec07c659-0dbc-4155-b955-e62accd42f35
2022-09-21,Income,180.00,RUB,Сбер,,На расходы,,6b4621ff-392c-450a-ac3f-25e58e0ef1a1
2022-09-22,Expense,785.00,RUB,Тинькофф,,Лекарства,,9d211836-b689-4783-8398-eaecbc413eb6
2022-09-22,Income,700.00,RUB,Тинькофф,,На расходы,,719d1b09-fd5b-45df-954b-e836dfc02ca4
2022-09-23,Expense,48.00,RUB,Тинькофф,,Самокат,,cab9e1f1-aeea-4518-b271-ae9e7fc29f77
2022-09-23,Expense,794.83,RUB,Сбер,,,,9cb7cb44-4ef5-48d3-b829-bfb4804d4c05
2022-09-23,Income,469.25,RUB,Тинькофф,,,,5a0bc4b5-831a-42b6-a094-dd5ee162053c
2022-09-23,Expense,43.00,RUB,Тинькофф,,Продукты,,16b81324-dee4-4c68-85a7-cdb3911f55d5
2022-09-23,Expense,293.00,RUB,Тинькофф,,Связь и интернет,,c0be7f44-cab3-4fb0-aad0-2c187afa15cc
2022-09-23,Expense,347.00,RUB,Сбер,,Продукты,,64ab3daf-db80-4a93-ae08-593b5f96ddcc
2022-09-24,Expense,2.95,RUB,Сбер,,Другое,,ad156ea2-5e45-47df-befa-b33642747194
2022-09-25,Expense,32.00,RUB,Тинькофф,,Лекарства,,27281f12-f59e-429a-9cf7-2b09f3c21b60
2022-09-26,Expense,125.00,RUB,Сбер,,Подписки,,2f16b407-9128-4e14-b278-884b72097eb8
2022-09-27,Expense,43.00,RUB,Тинькофф,,Продукты,,77a253c0-25cf-4240-a613-4a29a984f04d
2022-09-28,Expense,77.00,RUB,Тинькофф,,Продукты,,5b28f155-c5e7-4774-8e1c-7260acbea9ba
2022-09-29,Expense,83.00,RUB,Тинькофф,,Продукты,,95d4b0e7-b9df-45c5-8b36-3ce9bc2a5abc
2022-09-29,Expense,5.00,RUB,Налик,,Другое,,930aeee6-8046-46ec-b24f-d7b81122ecfb
2022-09-30,Expense,40.00,RUB,Тинькофф,,Лекарства,,1137fdaf-dce9-4d12-b3d3-ae55ec3d5578
2022-09-30,Expense,55.00,RUB,Тинькофф,,Продукты,,3fc0376e-f1a7-4338-85c5-99d35a260614
2022-10-01,Expense,302.00,RUB,Степа,,Транспорт,,a6ab6810-25bd-4b6c-92c1-9a1e59dc1db4
2022-10-01,Expense,80.00,RUB,Тинькофф,,Продукты,,bf6c1fa3-7cd4-4c85-83e9-7b1ec8660b47
2022-10-03,Expense,99.00,RUB,Тинькофф,,Продукты,,f7bd1421-2b19-4e5e-be14-a26c3cd063aa
2022-10-03,Expense,99.00,RUB,Сбер,,Подписки,,401c33cc-6589-41c7-9a42-40481714fb2e
2022-10-03,Income,520.00,RUB,Степа,,Другое,,b47863a7-233c-4a4b-b0e9-0bfb8501d344
2022-10-03,Expense,242.00,RUB,Тинькофф,,Интернет магазин,,e1b7b8b4-211d-4711-9e73-ffce8678bd5d
2022-10-03,Income,6825.00,RUB,Степа,,Стипендия,,fd5e8f49-7cec-4775-959a-bf69cf8c7155
2022-10-03,Expense,2300.00,RUB,Степа,,Досуг,На посвят,ab7d9ebb-12ec-481a-b99a-a58d9d8857ac
2022-10-04,Expense,101.00,RUB,Тинькофф,,Продукты,,71fc0858-a740-4708-b1d9-de41cbe0ce9e
2022-10-05,Expense,302.00,RUB,Степа,,Транспорт,,1ecfc654-4082-44c4-b359-800e13d5b620
2022-10-05,Expense,65.00,RUB,Тинькофф,,Продукты,,4eb54469-5557-46f8-bbae-c608fb4b96a7
2022-10-06,Income,579.80,RUB,Степа,,Возврат,,e2495295-7bf1-46da-bf38-6cd5624daf64
2022-10-06,Expense,329.80,RUB,Степа,,,,708fb4b7-cf6b-4c61-9311-ac1b1471e611
2022-10-06,Expense,2000.97,RUB,Сбер,,,,d2a3e0ed-9c1c-4e34-8ac2-608306c66c7c
2022-10-06,Income,2000.28,RUB,Тинькофф,,,,5e07401e-3106-4737-91ba-e00102ed8f35
2022-10-06,Expense,60.00,RUB,Тинькофф,,Продукты,,86efcda2-2621-4719-a5e4-6f4d2baa5a47
2022-10-07,Expense,370.00,RUB,Степа,,Связь и интернет,,768475cd-b5f9-474a-826f-ed52ccad0e41
2022-10-07,Expense,134.00,RUB,Тинькофф,,Продукты,,8d734b10-6671-4732-8643-28f057ba0616
2022-10-08,Expense,60.00,RUB,Тинькофф,,Продукты,,0fed31f0-cb0e-4c54-8ef7-547db8388874
2022-10-08,Expense,33.00,RUB,Тинькофф,,Продукты,,9c4e9c03-718a-4c77-9aa7-6c89f61ee58e
2022-10-08,Expense,25.00,RUB,Тинькофф,,Транспорт,,040c0be3-8053-4e01-8211-b19b4f0095d1
2022-10-08,Expense,120.00,RUB,Степа,,Такси,,46a923b1-98a1-403f-93b1-98ef080e2dc8
2022-10-08,Income,573.00,RUB,Степа,,,,622e5ae2-9131-4dd3-a520-7e865a44c912
2022-10-09,Income,10000.00,RUB,Тинькофф,,На расходы,,686d426c-b740-4f02-ac21-865aae621ff9
2022-10-09,Expense,25.00,RUB,Тинькофф,,Транспорт,,704cc6cf-cbd4-4459-8a32-4f4ba274eb0d
2022-10-10,Expense,89.00,RUB,Тинькофф,,Продукты,,cb37e426-0542-4ca5-abf8-dcdbb08d6954
2022-10-10,Expense,107.00,RUB,Степа,,Подарки,,69c14d41-8c27-441f-ad52-67252fbb1e39
2022-10-10,Expense,557.00,RUB,Сбер,,Транспорт,,a5fe05a5-4e40-48cb-a157-62a47461d348
2022-10-11,Expense,30.00,RUB,Тинькофф,,Самокат,,8f74597b-4174-4acb-8aa3-3cdf34b438f8
2022-10-11,Expense,8897.00,RUB,Тинькофф,,Интернет магазин,,0d7877aa-52c7-419c-9897-c380b34e52df
2022-10-12,Expense,77.00,RUB,Тинькофф,,Продукты,,7a72d76e-0d7a-456a-9cfd-cf06a45d3afd
2022-10-12,Expense,120.00,RUB,Тинькофф,,Кафе,,c5862643-22da-4ef5-b702-495df2e7fae8
2022-10-12,Expense,7.80,RUB,Степа,,Подписки,,fa87b35e-d165-454e-9954-5af96a25f455
2022-10-13,Expense,88.00,RUB,Тинькофф,,Продукты,,2379aefc-4a4a-4602-b7c0-09e673fdd8c9
2022-10-14,Expense,156.00,RUB,Тинькофф,,Продукты,,a281dd55-ebb7-4c00-8990-8ecc96415136
2022-10-14,Expense,243.00,RUB,Тинькофф,,Такси,,60d4c85f-d282-44f0-b6b5-14b68e625a0b
2022-10-14,Expense,25.00,RUB,Тинькофф,,Другое,,04052bb2-c6e2-4dd6-aba5-8fd26b937ea1
2022-10-16,Income,7000.00,RUB,Степа,,На расходы,,e04bdcf6-2408-47c4-aa88-8c7458d52ef1
2022-10-16,Transfer,7000.00,RUB,Степа,Тинькофф,,,66e3bd87-2c13-48c5-a591-e78d2f761b79
2022-10-17,Income,1500.00,RUB,Степа,,На расходы,,59afabae-fc04-45b0-99d1-2e220e397b4d
2022-10-17,Expense,1849.00,RUB,Тинькофф,,Интернет магазин,,e1c4499e-f3bd-4b97-b023-d70c1c2f72c6
2022-10-17,Expense,200.00,RUB,Сбер,,Подписки,,67b30060-0de6-4653-8118-8c50a8962a37
2022-10-18,Expense,17.00,RUB,Тинькофф,,Продукты,,cd22d238-e68d-4f52-8e0b-4c67ca1a57d3
2022-10-19,Income,234.00,RUB,Тинькофф,,Кэшбэк,,b20cddcb-d09a-44c5-bf36-d15d5998cf4c
2022-10-19,Expense,67.00,RUB,Тинькофф,,Продукты,,3ac5e347-9ba1-4a1c-9ccc-6dd4690a0c49
2022-10-20,Expense,122.00,RUB,Тинькофф,,Продукты,,d57f1a46-e550-4264-8297-fe970739623c
2022-10-20,Expense,25.00,RUB,Тинькофф,,Транспорт,,eada413a-8fa4-46b8-a254-175a10ffa119
2022-10-20,Expense,236.00,RUB,Тинькофф,,Продукты,,bc67e977-3b13-4cd6-99c8-2e6fbfa6223b
2022-10-20,Expense,2692.00,RUB,Тинькофф,,Лекарства,,db1b5228-f7ed-4a37-ae25-c3d3a7d050bb
2022-10-20,Expense,250.00,RUB,Тинькофф,,Хозтовары,,180e634b-30ac-46fd-a790-35f899ad8329
2022-10-20,Expense,25.00,RUB,Тинькофф,,Транспорт,,913f9bdb-69f8-454c-acaa-2d012aff6be0
2022-10-20,Expense,3990.00,RUB,Тинькофф,,Интернет магазин,,23d53253-31e2-4068-a79a-11fa8556f46a
2022-10-20,Expense,27.88,RUB,Тинькофф,,,,6ef8d275-222b-4ea0-8f79-0d8ef640529e
2022-10-20,Income,3000.00,RUB,Тинькофф,,,,fb4ab22f-00b2-46c6-b105-6abe80b46f94
2022-10-20,Expense,3000.00,RUB,Степа,,,,6daef765-9759-45b1-91a7-90c5559fa4f9
2022-10-21,Expense,89.00,RUB,Тинькофф,,Продукты,,15b86b07-8719-4c79-8ce9-4dde2503ea98
2022-10-24,Expense,40.00,RUB,Тинькофф,,,,5e51060f-7371-46ae-a4fb-c80895ee7f1e
2022-10-24,Expense,123.00,RUB,Тинькофф,,Самокат,,e237bf2d-be29-49c1-802a-bcb259d9c132
2022-10-24,Expense,140.00,RUB,Сбер,,Кафе,,0ee1cb52-474e-4d54-a733-733a5ef97d70
2022-10-24,Expense,17.00,RUB,Тинькофф,,Продукты,,2e608eab-c919-45f2-8f2b-ffc56a0f71d0
2022-10-24,Expense,45.00,RUB,Тинькофф,,Лекарства,,96e7029d-84a1-45a7-9b75-29e908aed70a
2022-10-24,Income,450.00,RUB,Тинькофф,,Кэшбэк,,126fe5ab-cf95-43e5-a715-c75a51130f27
2022-10-25,Expense,18.00,RUB,Тинькофф,,Самокат,,084fa6ca-5725-4f3e-ab71-c891402b9e82
2022-10-25,Expense,14.00,RUB,Сбер,,,,adda33c7-4a52-4f87-a2c4-1627f7b36677
2022-10-25,Expense,200.00,RUB,Тинькофф,,Кафе,,d5d60bbd-4038-4d79-aaae-0334f2ea33cf
2022-10-25,Expense,307.00,RUB,Тинькофф,,Лекарства,,a4319696-4ff5-48cd-8cd8-118689748a46
2022-10-26,Expense,30.00,RUB,Тинькофф,,Самокат,,04094ee6-3d89-40d8-a355-97260965b609
2022-10-26,Expense,230.00,RUB,Тинькофф,,Кафе,,6dc31ea7-4333-4273-bd0b-34a9adf687de
2022-10-26,Expense,17.00,RUB,Тинькофф,,Продукты,,3583e436-097d-4bb5-bd7b-9438255a435c
2022-10-26,Expense,314.00,RUB,Тинькофф,,Другое,,7cf07291-c1ba-4cad-b1e2-d546e2624c6a
2022-10-26,Expense,25.00,RUB,Тинькофф,,Транспорт,,9f56c286-3dbb-4e33-af6f-edc3a9362679
2022-10-26,Expense,25.00,RUB,Тинькофф,,Транспорт,,c6729c42-93b8-462a-be3d-b488c76cb2a9
2022-10-27,Income,6825.00,RUB,Степа,,Стипендия,,ff05a122-5dab-451e-8810-5da309d8c774
2022-10-27,Income,810.80,RUB,Степа,,,,005a1fe0-b701-4fe8-b826-d9e9be3cb239
2022-10-27,Expense,166.96,RUB,Тинькофф,,,,6e3d67df-35fb-4220-b0ec-ea6e5ba6d202
2022-10-27,Expense,125.00,RUB,Сбер,,Подписки,,ef77bcb1-5091-4d6d-b442-a3acd5658e41
2022-10-29,Income,2000.00,RUB,Степа,,На расходы,,2ad97e7f-6393-44ad-b0f9-a7e2238926d3
2022-10-29,Income,5000.00,RUB,Тинькофф,,На расходы,,d5696ebd-6113-4b9a-b73a-8cad575d185f
2022-10-30,Expense,1942.00,RUB,Сбер,,Интернет магазин,,0215c3d3-9821-4674-8462-0a94a76952e8
2022-10-30,Expense,2880.00,RUB,Тинькофф,,Лекарства,,96e34822-2543-4918-a2cf-989451820c47
2022-10-30,Expense,128.00,RUB,Тинькофф,,Лекарства,,c5cc65b8-3482-4659-b055-81064621feed
2022-10-30,Expense,100.00,RUB,Степа,,Досуг,,a7e7e63d-b16b-4105-9b8d-30ea045a6b30
2022-10-31,Expense,84.00,RUB,Тинькофф,,Продукты,,3e1bb257-d5e0-49d3-a263-d1c2edf455df
2022-11-01,Expense,390.00,RUB,Степа,,Связь и интернет,,2fb39700-2293-4ee1-9aef-116db678755b
2022-11-01,Expense,25.00,RUB,Тинькофф,,Продукты,,56dda8b8-cadb-4644-ab5d-6da849124d4d
2022-11-01,Income,517.03,RUB,Тинькофф,,,,824bed21-ec61-48fc-a496-3b964ff58bce
2022-11-01,Expense,99.00,RUB,Сбер,,Подписки,,d782e704-6d8f-427c-a7f8-b1109a653080
2022-11-02,Expense,14.00,RUB,Тинькофф,,Продукты,,fa6e675a-f4eb-4abc-a9f0-cc8a66526090
2022-11-02,Expense,200.00,RUB,Тинькофф,,Кафе,,f8a860b1-ef56-417c-9f9a-1698b0540eb1
2022-11-03,Expense,70.00,RUB,Тинькофф,,Продукты,,4c3f9bbc-5e53-4157-9910-ee11a799224d
2022-11-03,Expense,25.00,RUB,Тинькофф,,Транспорт,,68d830a3-ce3f-4766-b90a-8373a2c61eff
2022-11-03,Expense,5781.00,RUB,Тинькофф,,Лекарства,,8b9642f5-b850-4f7f-94d4-61299505469a
2022-11-03,Expense,25.00,RUB,Тинькофф,,Транспорт,,75e0f201-4ed0-4556-8909-28b91ed1b416
2022-11-03,Transfer,5000.00,RUB,Степа,Тинькофф,,,a6cb76b5-f31f-4bc9-b44a-ef714e8fc25b
2022-11-05,Expense,25.00,RUB,Тинькофф,,Транспорт,,851084d9-64cb-4d8c-b986-46aa5b6c5e66
2022-11-07,Expense,128.00,RUB,Тинькофф,,Интернет магазин,,6d228d45-5f4a-4e6c-a2e0-a622a9bcbf4b
2022-11-08,Expense,94.00,RUB,Тинькофф,,Продукты,,de0a0ced-457f-491b-a9be-6fa1c0269d7d
2022-11-09,Expense,240.00,RUB,Тинькофф,,Кафе,,d56061e1-36ac-40bd-a514-379e733638b8
2022-11-11,Expense,1500.00,RUB,Тинькофф,,Здоровье,,90c06e23-1c72-42c5-a271-ae5145e90e36
2022-11-11,Expense,600.00,RUB,Тинькофф,,Здоровье,,d512542c-ceb0-4e80-a101-114b0eb3114e
2022-11-11,Expense,25.00,RUB,Тинькофф,,Транспорт,,003221b8-7d18-4bba-bc0d-e64a2bec0dc3
2022-11-11,Expense,240.00,RUB,Тинькофф,,Кафе,,d47f8aa1-a2d6-4961-acda-71ecf98cdd09
2022-11-11,Expense,21.00,RUB,Тинькофф,,Продукты,,2154f3a9-77ad-4994-9b59-0af4421052d6
2022-11-11,Expense,93.00,RUB,Тинькофф,,Такси,,1d202409-9870-4b05-95a0-95816d254e9a
2022-11-12,Expense,25.00,RUB,Тинькофф,,Транспорт,,7fee7051-7cea-4513-a29e-8d02aacba3ec
2022-11-12,Expense,100.00,RUB,Тинькофф,,Хозтовары,,22752d98-8cfc-4a08-94c6-a72c712c7e8c
2022-11-12,Expense,25.00,RUB,Тинькофф,,Транспорт,,0b8ae452-c0ac-42c2-835c-7cce68e8ccd1
2022-11-12,Income,6000.00,RUB,Тинькофф,,На расходы,,d147fefc-41b6-42d0-b4f1-d9e9f4bceab2
2022-11-12,Expense,5733.00,RUB,Тинькофф,,Лекарства,,3490352f-0351-49f0-ab5b-2b5fbb33c861
2022-11-12,Expense,25.00,RUB,Тинькофф,,Транспорт,,3ac65d2e-90b8-4127-a5b1-02ce580ba2fd
2022-11-14,Expense,59.00,RUB,Степа,,Продукты,,089f1029-8c34-4773-8917-e72da7216a54
2022-11-14,Income,1500.00,RUB,Тинькофф,,На расходы,,5553ee1b-4049-4ad4-b6e1-a3f2d6f9828c
2022-11-15,Expense,5.00,RUB,Налик,,Другое,,1a95d582-10a5-4958-8155-446cbc59b57c
2022-11-15,Transfer,10.00,RUB,Степа,Налик,,,19d5feaf-376a-49dc-8982-f27fe3f31480
2022-11-16,Expense,52.00,RUB,Тинькофф,,Продукты,,307a2623-9e89-4ea4-9942-5759eddbc0ef
2022-11-16,Expense,60.00,RUB,Тинькофф,,Продукты,,03e19ee6-ba61-4bbe-9817-360bc89f6c27
2022-11-16,Expense,20.00,RUB,Тинькофф,,Другое,,262c63d0-01f0-42dd-9530-6ea92ad7c163
2022-11-17,Expense,25.00,RUB,Тинькофф,,Транспорт,,a81a64fd-2afe-4c91-9177-768fcf2cf51f
2022-11-17,Expense,200.00,RUB,Сбер,,Подписки,,3c3f2fa8-7640-46d3-992c-433ac74d4606
2022-11-18,Expense,86.00,RUB,Тинькофф,,Продукты,,231362b0-0aa5-4e99-8adf-8c827de4dad9
2022-11-18,Expense,260.00,RUB,Тинькофф,,Кафе,,4a9a8351-db21-4580-8261-afeb9c31646b
2022-11-18,Expense,5.00,RUB,Налик,,Другое,,6b421eb9-c6b5-4e83-9106-ed55d0528130
2022-11-19,Expense,92.00,RUB,Тинькофф,,,,dae695b9-2347-48ac-b1a0-a174ebee5d9c
2022-11-19,Income,1000.00,RUB,Тинькофф,,Кэшбэк,,4abbfdcc-733d-402d-97b9-45c820bb74bf
2022-11-19,Income,1500.00,RUB,Степа,,На расходы,,b2028340-cd3b-4c23-b82d-be1ffbc5c98e
2022-11-19,Expense,459.00,RUB,Степа,,Подписки,,ae3932a1-058b-4812-a538-a64a8c1f80cf
2022-11-22,Expense,242.00,RUB,Тинькофф,,Кафе,,a5b4db8b-84c7-435e-915c-41274f77a705
2022-11-22,Expense,103.00,RUB,Тинькофф,,Продукты,,eae873e7-6497-4039-91e6-b4b402b2a051
2022-11-23,Expense,112.00,RUB,Тинькофф,,Продукты,,09cddafe-880c-477a-b6b0-9b9d9bc8f1ba
2022-11-23,Expense,977.00,RUB,Тинькофф,,Лекарства,,c3de3194-393b-49fe-81fb-88e09f392539
2022-11-23,Expense,300.00,RUB,Степа,,Интернет магазин,,bd9202f9-f5e8-44f2-bab2-27b9ecab42c2
2022-11-25,Expense,240.00,RUB,Тинькофф,,Кафе,,c94756d2-a177-4f84-a518-17e3bc94ec59
2022-11-25,Expense,125.00,RUB,Сбер,,Подписки,,917678d5-685a-4771-bb9a-8235ff965504
2022-11-25,Transfer,100.00,RUB,Степа,Сбер,,,7ad3dd29-177c-4918-b7d3-cf99349d1305
2022-11-27,Expense,850.00,RUB,Тинькофф,,Интернет магазин,,b77d6fa5-1e2d-4872-b954-7508ba0eb69d
2022-11-28,Expense,370.00,RUB,Тинькофф,,Такси,,f88484cd-226b-47fd-b8e1-2207c5abf382
2022-11-28,Expense,319.00,RUB,Тинькофф,,Такси,,29863743-6323-40d3-9614-fe43f1b097d5
2022-11-28,Expense,604.00,RUB,Степа,,Транспорт,,50bcbb55-a0e5-465e-ac33-dd4c403a4598
2022-11-28,Expense,200.00,RUB,Тинькофф,,Подписки,,1413cbd5-e885-4f75-9b67-3a61ea8a7a27
2022-11-28,Income,160.00,RUB,Степа,,Возврат,,1ee371ea-1ba9-472d-8c9c-3f379a5f1c32
2022-11-28,Transfer,2000.00,RUB,Степа,Тинькофф,,,5a34839b-7c01-463e-bb34-b9df6332b9a2
2022-11-29,Income,9555.00,RUB,Степа,,Стипендия,,00bc1826-e725-4824-988a-9a2f3b198320
2022-11-29,Expense,235.00,RUB,Тинькофф,,Кафе,,81bdd425-449f-4e29-a1f0-358dc5a18eb8
2022-11-29,Expense,23.00,RUB,Тинькофф,,Продукты,,ea30206d-3950-440e-91e0-d97878ecb215
2022-11-29,Transfer,9555.00,RUB,Степа,Тинькофф,,,fd5440b3-20d3-41cb-8da5-4e21604b9e63
2022-11-30,Expense,102.00,RUB,Тинькофф,,Продукты,,0b6e60b7-8ef2-46db-b371-80c2c980cc99
2022-12-01,Expense,220.00,RUB,Тинькофф,,Кафе,,f4534b28-822d-47c5-a329-ba6a88177ab5
2022-12-01,Expense,37.00,RUB,Тинькофф,,Продукты,,c505b513-58ca-4114-8833-4ff92f66437d
2022-12-01,Expense,5733.00,RUB,Тинькофф,,Лекарства,,400baa1d-ce1d-4810-9070-bc8f5017e7f4
2022-12-01,Expense,25.00,RUB,Тинькофф,,Транспорт,,2ba8eeae-f8ed-4f2f-830d-7191a064b972
2022-12-01,Expense,500.00,RUB,Тинькофф,,Одежда,,e89c3ff3-d05d-42fe-8431-78e7cac3a4a2
2022-12-01,Expense,503.00,RUB,Тинькофф,,Хозтовары,,a2eba9af-7c09-4a7a-bd61-8f9122735de4
2022-12-01,Expense,170.00,RUB,Тинькофф,,Другое,,bbe71a61-1269-4971-b9c5-c8b8edc2ddb3
2022-12-01,Expense,101.00,RUB,Тинькофф,,Такси,,ec350437-7ea7-4060-9ef5-bedd119fc252
2022-12-01,Expense,30.00,RUB,Сбер,,Подписки,,81cfb569-2863-4c97-9355-33681b4169ea
2022-12-01,Expense,100.00,RUB,Налик,,Кафе,,cb51c110-5bae-4344-9eed-5c5ace3aef4d
2022-12-01,Expense,715.00,RUB,Степа,,Кафе,,e5913da5-9ab7-4e6b-bfb3-1f2050840efa
2022-12-01,Expense,140.00,RUB,Тинькофф,,Такси,,2137eb65-134e-4d0e-824f-1aad54691b8e
