date,amount,type,account,to_account,category,note,uid
2025-05-10,145000,income,Тинькофф,,Зарплата,Май 2025,d302
2025-05-12,65000,transfer,Тинькофф,Сбер,,Перевод,d303
2025-05-13,1500,expense,Сбер,,Продукты,Пятёрочка,d304
2025-05-15,5500,expense,Сбер,,ЖКХ,Май,d305
2025-05-15,850,expense,Тинькофф,,Подписки,МТС,d306
2025-05-16,600,expense,Тинькофф,,Подписки,Интернет,d307
2025-05-17,499,expense,Тинькофф,,Подписки,Яндекс Плюс,d308
2025-05-18,2600,expense,Сбер,,Топливо,АЗС,d309
2025-05-20,1700,expense,Сбер,,Продукты,Перекрёсток,d310
2025-05-22,980,expense,Тинькофф,,Кафе,Летняя терраса,d311
2025-05-24,1200,expense,Сбер,,Продукты,ВкусВилл,d312
2025-05-26,5500,expense,Сбер,,Здоровье,Стоматолог,d313
2025-05-28,590,expense,Налик,,Кафе,Мороженое,d314
